"relative_path","category","service","label","associated_content","source_page","source_asset","confidence","dimensions","notes"
"images/services/garage/cabinets.jpg","service","Garage","Cabinets With Doors","Gabinetes para objetos altos con puertas batientes o corredizas","https://www.inspiredclosets.com/locations/houston/inspired-garage/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2023/06/07165506/Inspired_Garage_Cabinet_with_Draws.png","alta","196x196","Archivo fuente servido como JPEG | Imagen re-verificada 2026-08-26: se corrigió un duplicado incorrecto y se actualizaron las dimensiones."
"images/services/garage/shoe-storage.jpg","service","Garage","Shoe Storage","Almacenamiento de calzado personalizable","https://www.inspiredclosets.com/locations/houston/inspired-garage/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2023/06/07165505/Inspired_Garage_Shoe_Storage.png","alta","196x196","Archivo fuente servido como JPEG | Imagen re-verificada 2026-08-26: se corrigió un duplicado incorrecto y se actualizaron las dimensiones."
"images/services/garage/slatwall.jpg","service","Garage","Slatwall and Accessories","Paneles, ganchos, cestas y barras para herramientas","https://www.inspiredclosets.com/locations/houston/inspired-garage/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2023/06/07165505/Inspired_Garage_Slatwall.png","alta","196x196","Archivo fuente servido como JPEG | Imagen re-verificada 2026-08-26: se corrigió un duplicado incorrecto y se actualizaron las dimensiones."
"images/services/pantry/galley.jpg","service","Pantry","Galley","Despensa tipo galley con almacenamiento personalizado","https://www.inspiredclosets.com/locations/houston/pantry/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2024/11/27091139/OH_692-400x400-1.jpg","alta","300x300","Apta para uso destacado | Imagen re-verificada 2026-08-26: se corrigió un duplicado incorrecto y se actualizaron las dimensiones."
"images/services/pantry/reach-in.jpg","service","Pantry","Reach-In","Organización que maximiza una despensa compacta","https://www.inspiredclosets.com/locations/houston/pantry/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2025/02/06153456/reach-in-pantry.jpg","alta","300x270","Apta para uso destacado | Imagen re-verificada 2026-08-26: se corrigió un duplicado incorrecto y se actualizaron las dimensiones."
"images/services/pantry/walk-in.jpeg","service","Pantry","Walk-In","Despensa walk-in con acceso y zonas de almacenamiento","https://www.inspiredclosets.com/locations/houston/pantry/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2025/02/07125420/IC_Jacksonville_018.jpg-crop-1.jpeg","alta","268x300","Apta para uso destacado | Imagen re-verificada 2026-08-26: se corrigió un duplicado incorrecto y se actualizaron las dimensiones."
"images/services/laundry-room/dual-space.jpg","service","Laundry Room","Dual Space","Lavandería combinada con otro uso del hogar","https://www.inspiredclosets.com/locations/houston/laundry-room/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2025/02/06155753/laundry-dual-space.jpg","alta","300x300","Apta para uso destacado | Imagen re-verificada 2026-08-26: se corrigió un duplicado incorrecto y se actualizaron las dimensiones."
"images/services/laundry-room/galley.jpeg","service","Laundry Room","Galley","Lavandería lineal con almacenamiento y superficies de trabajo","https://www.inspiredclosets.com/locations/houston/laundry-room/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2025/02/07123849/IC_LasVegas_002.tif-crop-1.jpeg","alta","218x300","Usar en tamaño pequeño"
"images/services/laundry-room/open-room.jpeg","service","Laundry Room","Open Room","Lavandería abierta con zonas funcionales","https://www.inspiredclosets.com/locations/houston/laundry-room/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2025/02/07125019/IC_Jacksonville_023.jpg-crop-1.jpeg","alta","300x278","Usar en tamaño pequeño | Imagen re-verificada 2026-08-26: se corrigió un duplicado incorrecto y se actualizaron las dimensiones."
"images/services/home-office/desk-and-cabinets.jpg","service","Home Office","Desk and Cabinets","Escritorio integrado con gabinetes para trabajar con orden","https://www.inspiredclosets.com/locations/houston/home-office/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2024/11/27085843/D_553-2.jpg","alta","264x300","Usar en tamaño pequeño | Imagen re-verificada 2026-08-26: se corrigió un duplicado incorrecto y se actualizaron las dimensiones."
"images/services/home-office/dual-space.jpeg","service","Home Office","Dual Space","Oficina integrada en un espacio de doble uso","https://www.inspiredclosets.com/locations/houston/home-office/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2025/02/07132135/IC_SouthwestFlorida_051.jpg-crop-3.jpeg","alta","300x300","Usar en tamaño pequeño | Imagen re-verificada 2026-08-26: se corrigió un duplicado incorrecto y se actualizaron las dimensiones."
"images/services/home-office/library-wall.jpg","service","Home Office","Library Wall","Biblioteca mural y almacenamiento empotrado","https://www.inspiredclosets.com/locations/houston/home-office/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2024/11/27091232/D_1204-1-400x400-1.jpg","alta","300x300","Usar en tamaño pequeño | Imagen re-verificada 2026-08-26: se corrigió un duplicado incorrecto y se actualizaron las dimensiones."
"images/services/murphy-bed/dual-space.jpg","service","Murphy Bed","Dual Space","Cama rebatible integrada en una habitación multifunción","https://www.inspiredclosets.com/locations/houston/murphy-bed/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2025/02/07082833/murphy-bed-dual-space.jpg","alta","300x300","Usar en tamaño pequeño | Imagen re-verificada 2026-08-26: se corrigió un duplicado incorrecto y se actualizaron las dimensiones."
"images/services/murphy-bed/queen-bed.jpg","service","Murphy Bed","Queen Bed","Cama queen rebatible con almacenamiento integrado","https://www.inspiredclosets.com/locations/houston/murphy-bed/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2024/11/27091623/D_1519-400x400-1.jpg","alta","300x300","Usar en tamaño mediano o pequeño"
"images/services/murphy-bed/twin-bed.jpg","service","Murphy Bed","Twin Bed","Cama twin rebatible para aprovechar el espacio","https://www.inspiredclosets.com/locations/houston/murphy-bed/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2024/11/27092025/D_941-1920x1277-1.jpg","alta","300x200","Usar en tamaño mediano o pequeño"
"images/services/entryway/dual-space.jpg","service","Entryway","Dual Space","Entrada combinada con otra función del hogar","https://www.inspiredclosets.com/locations/houston/entryway/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2025/02/07090921/entryway-dual-space.jpg","alta","300x300","Usar en tamaño mediano o pequeño"
"images/services/entryway/entryway.jpg","service","Entryway","Entryway","Almacenamiento para una zona de entrada de alto tránsito","https://www.inspiredclosets.com/locations/houston/entryway/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2024/11/27090834/D_479-e1617040636868-400x400-1.jpg","alta","300x300","Usar en tamaño mediano o pequeño"
"images/services/entryway/foyer.jpg","service","Entryway","Foyer","Solución de almacenamiento para foyer","https://www.inspiredclosets.com/locations/houston/entryway/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2025/02/07092943/foyer.jpg","alta","300x300","Usar en tamaño mediano o pequeño"
"images/services/entertainment/built-ins.jpg","service","Entertainment","Built-Ins","Centro de entretenimiento empotrado y personalizado","https://www.inspiredclosets.com/locations/houston/entertainment/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2024/11/27085117/DS_597-1920x1440-1.jpg","alta","300x225","Usar en tamaño mediano o pequeño | Imagen re-verificada 2026-08-26: se corrigió un duplicado incorrecto y se actualizaron las dimensiones."
"images/services/entertainment/dual-space.jpg","service","Entertainment","Dual Space","Espacio compartido para trabajo y entretenimiento","https://www.inspiredclosets.com/locations/houston/entertainment/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2025/02/07092210/library-dual-space.jpg","alta","300x225","Usar en tamaño mediano o pequeño"
"images/services/entertainment/media-center.jpg","service","Entertainment","Media Center","Gabinetes y estantes para medios y objetos personales","https://www.inspiredclosets.com/locations/houston/entertainment/","https://inspiredclosetsmediafiles.s3.amazonaws.com/wp-content/uploads/2024/11/27091328/IC_Austin_001-400x400-1.jpg","alta","300x300","Usar en tamaño mediano o pequeño"
